c108850_g1	UGT90A2	32.00	25	13	1	6	30	236	256	1.6	18.9
c70702_g1	UGT73B1	44.35	487	242	12	1	466	1	479	4e-132	389
c66977_g1	UGT80A2	71.33	579	153	5	6	576	62	635	0.0	845
c136649_g1	UGT84B1	47.06	17	9	0	4	20	110	126	0.49	19.6
c144432_g1	UGT79B4	31.82	22	15	0	36	57	44	65	3.1	18.9
c69193_g2	UGT73B3	41.67	36	19	1	172	207	188	221	1.7	22.7
c16927_g1	UGT72D1	27.27	33	24	0	31	63	376	408	0.21	23.5
c81219_g1	UGT85A4	43.48	23	13	0	16	38	336	358	1.5	20.0
c103194_g1	UGT78D1	39.13	23	14	0	38	60	117	139	0.54	21.2
c95194_g1	UGT71C4	37.04	27	17	0	21	47	133	159	0.27	22.3
c133165_g1	UGT71C4	33.33	27	18	0	21	47	133	159	1.7	19.6
c7530_g2	UGT76C3	32.14	28	19	0	75	102	418	445	0.22	23.5
c106209_g1	UGT71B7	45.71	35	15	3	11	43	231	263	1.6	18.9
c116264_g1	UGT72C1	28.57	49	30	2	31	76	17	63	1.8	20.0
c48889_g1	UGT72D2P	23.73	59	41	2	32	88	179	235	1.5	21.2
c115509_g1	UGT89A1P	50.00	12	6	0	6	17	117	128	4.0	16.9
c50686_g1	UGT82A1	50.00	8	4	0	1	8	423	430	7.7	16.2
c6289_g2	UGT79B4	40.00	20	12	0	10	29	62	81	1.4	20.0
c49516_g1	UGT81A3	32.50	40	21	2	41	77	322	358	0.012	27.7
c47287_g1	UGT72B1	34.38	32	16	1	68	99	125	151	1.3	21.2
c64800_g1	UGT71B2	29.41	51	24	1	385	435	401	439	1.2	24.3
c72715_g2	UGT74E1	54.17	24	11	0	140	163	394	417	0.79	25.4
c96069_g1	UGT79B5	26.92	26	19	0	26	51	210	235	0.80	20.0
c132290_g1	UGT84A3	31.03	29	14	1	14	36	140	168	4.5	18.1
c20448_g1	UGT76E7	28.99	69	40	2	119	183	70	133	0.20	26.6
c109631_g1	UGT91B1	29.03	31	22	0	33	63	429	459	0.26	23.1
c66003_g1	UGT76E2	30.30	66	35	4	94	156	355	412	2.1	21.6
c70054_g3	UGT85A1	50.00	16	8	0	8	23	170	185	1.5	21.6
c93977_g1	UGT85A1	27.59	29	21	0	13	41	176	204	0.74	19.6
c112114_g1	UGT76C3	58.33	12	5	0	20	31	404	415	1.6	17.7
c65814_g1	UGT85A5	33.33	33	19	1	44	76	185	214	0.34	21.9
c102433_g1	UGT81A1	44.83	29	12	1	49	73	431	459	0.57	23.5
c141792_g1	UGT73C7	51.79	56	24	2	1	53	384	439	3e-12	53.9
c59129_g1	UGT80B1	46.78	171	85	2	152	322	149	313	1e-50	172
c71622_g1	UGT85A3	29.76	84	45	3	270	339	357	440	0.15	27.7
c124994_g1	UGT76E4	37.93	29	16	1	14	42	63	89	0.34	20.8
c73749_g1	UGT79B9	35.90	39	22	2	198	234	174	211	0.052	27.7
c40345_g1	UGT85A7	39.13	23	14	0	100	122	252	274	2.6	21.2
c92267_g1	UGT72B1	66.67	33	11	0	1	33	439	471	5e-10	46.6
c85544_g1	UGT78D1	46.67	15	8	0	20	34	372	386	1.3	20.0
c69812_g1	UGT85A2	56.85	292	123	2	1	289	189	480	2e-118	346
c150874_g1	UGT74D1	50.00	16	7	1	30	44	254	269	5.4	17.3
c153538_g1	UGT73B1	31.15	61	41	1	9	68	70	130	2.4	19.2
c150132_g1	UGT72B1	33.33	36	19	1	39	69	72	107	4.2	19.6
c25742_g1	UGT71C1	26.04	96	59	4	4	98	373	457	0.25	25.8
c74120_g1	UGT79B5	27.45	51	33	2	62	111	364	411	1.8	20.8
c104803_g1	UGT74E1	50.00	18	9	0	41	58	3	20	0.76	20.0
c66817_g4	UGT73C4	46.67	30	16	0	30	59	442	471	0.092	23.5
c155664_g1	UGT76C4	21.74	23	18	0	59	81	257	279	5.8	18.9
c132149_g1	UGT71B7	28.21	39	28	0	11	49	163	201	1.7	20.8
c44766_g1	UGT73B5	40.74	27	14	1	95	119	56	82	0.93	23.1
c73715_g1	UGT85A1	50.21	476	233	4	66	538	9	483	0.0	524
c69193_g1	UGT90A4	61.54	13	5	0	22	34	22	34	0.41	20.0
c66880_g1	UGT84A1	26.32	38	27	1	49	86	38	74	0.77	24.3
c68492_g1	UGT79B1	34.04	47	26	1	66	107	68	114	0.018	28.5
c70691_g2	UGT89A1P	36.73	49	24	2	4	52	141	182	0.51	23.5
c51699_g1	UGT84A3	58.33	12	5	0	2	13	398	409	3.6	18.1
c70226_g1	UGT71B5	34.48	29	19	0	205	233	436	464	0.14	26.2
c111885_g1	UGT79B3	28.81	59	33	3	72	123	397	453	0.16	24.3
c120622_g1	UGT89B1	34.29	35	21	2	41	74	225	258	1.2	20.4
c27607_g1	UGT74F2	38.46	26	16	0	57	82	2	27	0.64	23.9
c115515_g1	UGT84B1	28.30	53	37	1	25	76	394	446	1.6	21.9
c22059_g1	UGT72E3	29.79	47	29	1	1	43	373	419	0.11	23.5
c78554_g1	UGT74E2	34.48	58	31	3	92	146	147	200	0.15	25.4
c50841_g1	UGT85A7	50.00	82	39	1	1	80	397	478	2e-26	95.1
c130880_g1	UGT75D1	46.15	13	7	0	21	33	262	274	2.4	18.1
c131422_g1	UGT75D1	46.15	13	7	0	21	33	262	274	2.4	18.1
c139679_g1	UGT71B3P	31.58	19	13	0	5	23	221	239	0.68	18.5
c61522_g1	UGT80B1	68.14	565	171	6	56	614	51	612	0.0	801
c104468_g1	UGT80B1	47.79	113	58	1	1	113	463	574	2e-32	113
c98086_g1	UGT76C5	33.33	21	13	1	10	30	218	237	2.7	18.5
c83845_g1	UGT83A1	27.03	37	27	0	44	80	140	176	4.2	18.9
c6911_g1	UGT81A1	27.78	54	36	2	56	108	171	222	0.80	22.3
c59784_g1	UGT81A1	31.37	51	32	2	59	108	171	219	1.8	23.1
c68560_g1	UGT81A1	25.00	68	42	1	272	339	220	278	0.41	26.2
c98487_g1	UGT80A2	59.15	71	29	0	1	71	499	569	1e-25	93.2
c132350_g1	UGT76C2	22.22	54	30	2	64	109	21	70	1.3	21.2
c52490_g1	UGT89C1	42.11	19	11	0	34	52	336	354	0.59	20.4
c69328_g1	UGT90A2	38.89	54	25	3	32	83	412	459	0.085	25.8
c56768_g1	UGT72B3	31.88	69	40	4	107	172	398	462	0.019	28.1
